Date;Time;Route;Registration;Aboard;Aboard Passangers;Aboard Crew;Fatalities;Fatalities Passangers;Fatalities Crew;Location,Operator,AC Type
09/17/1908;17:18;Demonstration;;2;1;1;1;1;0;Fort Myer, Virginia,Military - U.S. Army,Wright Flyer III
09/07/1909;;Air show;SC1;1;0;1;1;0;0;Juvisy-sur-Orge, France,,Wright Byplane
07/12/1912;06:30;Test flight;;5;0;5;5;0;5;Atlantic City, New Jersey,Military - U.S. Navy,Dirigible
08/06/1913;;;;1;0;1;1;0;1;Victoria, British Columbia, Canada,Private,Curtiss seaplane
09/09/1913;18:30;;;20;NULL;NULL;14;NULL;NULL;Over the North Sea,Military - German Navy,Zeppelin L-1 (airship)
10/17/1913;10:30;;;30;NULL;NULL;30;NULL;NULL;Near Johannisthal, Germany,Military - German Navy,Zeppelin L-2 (airship)
03/05/1915;01:00;;;41;NULL;NULL;21;NULL;NULL;Tienen, Belgium,Military - German Navy,Zeppelin L-8 (airship)
09/03/1915;15:20;;;19;NULL;NULL;19;NULL;NULL;Off Cuxhaven, Germany,Military - German Navy,Zeppelin L-10 (airship)
07/28/1916;;;;20;NULL;NULL;20;NULL;NULL;Near Jambol, Bulgeria,Military - German Army,Schutte-Lanz S-L-10 (airship)
09/24/1916;01:00;;;22;NULL;NULL;22;NULL;NULL;Billericay, England,Military - German Navy,Zeppelin L-32 (airship)
10/01/1916;23:45;;;19;0;19;19;0;19;Potters Bar, England,Military - German Navy,Zeppelin L-31 (airship)
11/21/1916;;;;28;NULL;NULL;27;NULL;NULL;Mainz, Germany,Military - German Army,Super Zeppelin (airship)
11/28/1916;23:45;;;20;NULL;NULL;20;NULL;NULL;Off West Hartlepool, England,Military - German Navy,Zeppelin L-34 (airship)
03/04/1917;;;;20;NULL;NULL;20;NULL;NULL;Near Gent, Belgium,Military - German Army,Airship
03/30/1917;;;;23;NULL;NULL;23;NULL;NULL;Off Northern Germany,Military - German Navy,Schutte-Lanz S-L-9 (airship)
05/14/1917;05:15;;;21;NULL;NULL;21;NULL;NULL;Near Texel Island, North Sea,Military - German Navy,Zeppelin L-22 (airship)
06/14/1917;08:45;;;24;NULL;NULL;24;NULL;NULL;Off Vlieland Island, North Sea,Military - German Navy,Zeppelin L-43 (airship)
06/17/1917;;;L-48;16;NULL;NULL;14;NULL;NULL;Near Yarmouth, England,,Zepplin LZ-95 (air ship)
08/21/1917;07:00;;;18;NULL;NULL;18;NULL;NULL;Off western Denmark,Military - German Navy,Zeppelin L-23 (airship)
10/20/1917;07:45;;;18;NULL;NULL;18;NULL;NULL;Near Luneville, France,Military - German Navy,Zeppelin L-44 (airship)
04/07/1918;21:30;;;23;NULL;NULL;23;NULL;NULL;Over the Mediterranean,Military - German Navy,Zeppelin L-59 (airship)
05/10/1918;;;;22;NULL;NULL;22;NULL;NULL;Off Helgoland Island, Germany,Military - German Navy,Zeppelin L-70 (airship)
08/11/1918;10:00;;;19;NULL;NULL;19;NULL;NULL;Ameland Island, North Sea,Military - German Navy,Zeppelin L-53 (airship)
12/16/1918;;;97;1;0;1;1;0;1;Elizabeth, New Jersey,US Aerial Mail Service,De Havilland DH-4
05/25/1919;;;61;1;0;1;1;0;1;Cleveland, Ohio,US Aerial Mail Service,De Havilland DH-4
07/19/1919;;;82;1;0;1;1;0;1;Dix Run, Pennsylvania,US Aerial Mail Service,De Havilland DH-4
07/21/1919;16:55;Shuttle;;NULL;NULL;NULL;3;2;1;Chicago, Illinois,Wingfoot Air Express Goodyear Tire,FD Type Dirigible
08/02/1919;;Venice  Taliedo;;14;12;2;14;12;2;Verona, Italy,Caproni Company,Caproni Ca.48
10/02/1919;;;;1;0;1;1;0;1;Newcastle, England,Aircraft Transport and Travel,De Havilland DH-4
10/14/1919;;;32;1;0;1;1;0;1;Cantonsville, Maryland,US Aerial Mail Service,Curtiss R-4LM
10/20/1919;;;G-EAHG;0;0;1;0;0;0;English Channel off Forkstone, Kent,Aircraft Transport and Travel,De Havilland DH-4
10/30/1919;;;77;1;0;1;1;0;1;Long Valley, New Jersey,US Aerial Mail Service,De Havilland DH.4
12/11/1919;;Paris - Hounslow;G-EAHF;1;1;1;1;1;1;Catherham, Surrey, UK,Aircraft Travel Transport,de Havilland DH-4
03/10/1920;;;65;1;0;1;1;0;1;New Paris, Indiana,US Aerial Mail Service,De Havilland DH-4
03/30/1920;;Washington - Newark;72;1;0;1;1;0;1;Newark, New Jersey,US Aerial Mail Service,De Havilland DH-4
04/10/1920;;;49;2;1;1;1;0;1;Newark, New Jersey,US Aerial Mail Service,Curtiss R-4LM
04/11/1920;;;44;2;1;1;1;0;1;Heller Field, New Jersey,US Aerial Mail Service,Curtiss JN-4H
05/12/1920;;;79;2;1;1;1;1;0;Oskaloosa, Iowa,US Aerial Mail Service,De Havilland DH-4
06/06/1920;;;204;1;0;1;1;0;1;Cleveland, Ohio,US Aerial Mail Service,De Havilland DH-4
07/20/1920;;;;1;1;1;1;1;1;Cartagena, Columbia,Compañia Colombiana de Navegación Aérea,Farman F-40
08/16/1920;;;G-EALW;1;0;1;1;0;1;Bedford, England,By Air,Armstrong-Whitworth F-K-8
08/16/1920;;;317;1;0;1;1;0;1;College Park, Maryland,US Aerial Mail Service,De Havilland DH-4
09/01/1920;;;305;2;0;2;2;0;2;Morristown, New Jersey,US Aerial Mail Service,Junkers JL-6
09/15/1920;;;308;2;NULL;NULL;2;NULL;NULL;Pemberville, Ohio,US Aerial Mail Service,Junkers F-13
09/27/1920;;;316;1;0;1;1;0;1;Hillersburg, Pennsylvania,US Aerial Mail Service,De Havilland DH-4
10/02/1920;;;F-ALAI;2;1;1;2;1;1;Off Port Vendres, France,Latecoere Airlines,Salmson 2-A-2
10/05/1920;;;F-ALTA;2;1;1;2;1;1;Valencia, Spain,Latecoere Airlines,Breguet 14
10/15/1920;;;76;1;0;1;1;0;1;Batavia, Illinois,US Aerial Mail Service,De Havilland DH-4
11/07/1920;;;;1;0;1;1;0;1;Tie Siding, Wyoming,US Aerial Mail Service,De Havilland DH-4
12/14/1920;12:15;London - Paris;G-EAMA;8;6;2;4;2;2;London, England,Handley Page Transport,Handley Page HP-16
12/24/1920;;;F-ALBO;1;0;1;1;0;1;Barcelona, Spain,Aeropostale,Breguet 14
02/03/1921;;;130;1;0;1;1;0;1;Mendotta, Minnisota,US Aerial Mail Service,De Havilland DH-4
02/09/1921;;;301;3;0;3;3;0;3;La Crosse, Wisconsin,US Aerial Mail Service,Junkers F-13
02/15/1921;;;F-ALBA;2;0;2;2;0;2;Off Gibraltar,Aeropostale,Breguet 14
02/22/1921;;;67;1;0;1;1;0;1;Elko, Nevada,US Aerial Mail Service,De Havilland DH-4
04/06/1921;;;H3021;2;0;0;2;0;0;"Point Cook, Australia,Military - Royal Australian Air Force,  	 Avro 504"
04/21/1921;;;160;1;0;1;1;0;1;Mitchel Field, NY,US Aerial Mail Service,De Havilland DH-4
04/29/1921;;;196;1;0;1;1;0;1;Cleveland, Ohio,US Aerial Mail Service,De Havilland DH-4
05/17/1921;;;176;1;0;1;1;0;1;Rock Springs, Wyoming,US Aerial Mail Service,De Havilland DH-4 De Havilland DH-4
08/14/1921;;;F-ALBI;2;NULL;NULL;2;NULL;NULL;Toulouse, France,Aeropostale,Breguet 14
08/24/1921;17:40;;R-38;46;0;46;46;0;46;River Humber, England,Military - Royal Airship Works,Royal Airship Works ZR-2 (airship)
